Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"May 18, 2026, 11:26:39 PM",Evening Run,6.04,56.63,9.38,145.8,160,6.04,56.63,9.38,146.0,160.0,73.0,589.0,6.04,56.63,9.38,145.8,160,76,0.6,1.3,83.7,14.3,0.0,0,0,187.3,,False,False,False,True,False,False
"May 18, 2026, 12:00:31 AM",Evening Run,5.2,44.73,8.6,154.6,164,5.2,44.73,8.6,155.0,164.0,37.0,495.0,5.2,44.73,8.6,154.6,164,76,0.9,1.5,10.8,86.8,0.0,0,0,188.2,,False,False,False,False,False,False
"May 15, 2026, 4:26:16 PM",Lunch Run,6.41,60.0,9.35,145.3,165,6.41,59.5,9.28,145.0,165.0,62.0,592.0,6.41,60.0,9.35,145.3,165,86,0.9,0.9,90.3,7.8,0.0,0,0,187.4,,False,False,False,True,False,False
"May 14, 2026, 9:44:32 PM",Afternoon Run,5.17,47.12,9.11,144.5,157,5.17,47.12,9.11,145.0,157.0,42.0,487.0,5.17,47.12,9.11,144.5,157,82,0.7,1.7,95.8,1.8,0.0,0,0,188.3,,False,False,False,True,False,False
"May 13, 2026, 10:40:38 PM",Evening Run,5.16,51.45,9.96,144.7,171,5.16,48.32,9.36,145.0,171.0,100.0,476.0,5.16,51.45,9.96,144.7,171,62,2.0,2.6,71.9,23.1,0.3,0,0,183.7,,False,False,False,True,False,False
"May 12, 2026, 9:55:42 PM",Afternoon Run,7.28,68.07,9.35,145.9,153,7.28,66.73,9.17,146.0,153.0,26.0,669.0,7.28,68.07,9.35,145.9,153,65,0.9,3.4,93.5,2.2,0.0,0,0,188.4,,False,False,False,True,False,False
"May 11, 2026, 1:27:14 PM",Morning Run,6.34,57.78,9.12,151.8,161,6.34,57.78,9.11,152.0,161.0,60.0,612.0,6.34,57.78,9.12,151.8,161,84,0.8,0.7,31.3,67.2,0.0,0,0,185.5,,False,False,False,True,False,False
"May 11, 2026, 12:23:41 AM",Evening Run,3.49,29.55,8.47,153.4,164,3.49,29.55,8.47,153.0,164.0,29.0,326.0,3.49,29.55,8.47,153.4,164,90,1.0,0.8,24.5,73.7,0.0,0,0,190.1,,False,False,False,False,False,False
"May 8, 2026, 4:32:49 PM",Lunch Run,6.38,60.42,9.47,145.1,157,6.38,60.42,9.47,145.0,157.0,65.0,594.0,6.38,60.42,9.47,145.1,157,67,1.0,2.3,91.3,5.5,0.0,0,0,184.2,,False,False,False,True,False,False
"May 7, 2026, 9:36:20 PM",Afternoon Run,5.28,48.93,9.27,141.1,149,5.28,48.93,9.27,141.0,149.0,41.0,486.0,5.28,48.93,9.27,141.1,149,96,0.9,4.2,94.9,0.0,0.0,0,0,186.7,,False,False,False,True,False,False
