Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"Feb 6, 2026, 7:51:30 PM",Lunch Run,6.35,53.45,8.42,140.7,156,6.35,53.43,8.41,141.0,156.0,46.2,710.0,6.35,53.45,8.42,140.7,156,87,1.3,24.6,57.9,16.1,0.0,0,0,,,False,False,False,False,False,False
"Feb 5, 2026, 4:03:54 PM",Morning Run,11.42,132.05,11.56,149.0,178,11.42,131.2,11.49,145.0,178.0,918.0,1704.0,11.42,132.05,11.56,149.0,178,79,1.1,9.3,49.5,30.9,9.3,0,0,,,False,False,False,True,False,False
"Feb 4, 2026, 9:01:56 PM",19 x 30 secs @ 30-35% (1500ft) p2,1.29,30.92,23.97,150.0,166.0,1.29,30.92,23.97,150.0,166.0,457.5,445.0,,,,,,,,,,,,,,,,False,False,False,True,False,False
"Feb 4, 2026, 8:41:32 PM",19 x 30 sec @ 30-35% p1,0.48,17.23,,140.0,164.0,0.48,17.23,,140.0,164.0,222.4,211.0,,,,,,,,,,,,,,,,False,False,False,False,False,False
"Feb 3, 2026, 4:28:56 PM",Morning Run,8.05,66.67,8.28,136.7,160,8.05,66.62,8.28,137.0,160.0,59.4,900.0,8.05,66.67,8.28,136.7,160,74,4.1,27.2,60.4,8.3,0.0,0,0,,,False,False,False,False,False,False
"Feb 2, 2026, 10:00:47 PM",CD,0.3,3.67,,133.0,149.0,0.3,3.67,,133.0,149.0,0.0,41.0,,,,,,,,,,,,,,,,False,False,False,False,False,False
"Feb 2, 2026, 8:29:53 PM",Progression - 4050ft @ 12%,6.44,90.03,13.98,154.0,172.0,6.44,90.03,13.98,154.0,172.0,1234.5,1329.0,,,,,,,,,,,,,,,,False,False,False,True,False,False
"Feb 1, 2026, 9:53:25 PM",Week: 55 miles - 10k feet,6.36,54.32,8.53,133.9,172,6.36,53.9,8.47,134.0,172.0,41.4,715.0,6.36,54.32,8.53,133.9,172,80,1.0,49.1,37.5,12.1,0.2,0,0,,,False,False,False,False,False,False
"Jan 31, 2026, 5:10:43 PM",Jan: 248 miles + 44k ft vert 💪,15.67,157.9,10.08,149.8,167,15.71,156.97,9.99,150.0,167.0,889.0,2217.0,15.67,157.9,10.08,149.8,167,90,0.4,6.0,47.4,46.3,0.0,0,0,,,True,False,False,True,False,False
"Jan 30, 2026, 8:04:10 PM",CD - 200ft @ 20%,0.2,5.58,,127.0,136.0,0.2,5.58,,127.0,136.0,61.3,62.0,,,,,,,,,,,,,,,,False,False,False,False,False,False
