Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"May 17, 2026, 4:34:19 PM",Morning Run,10.32,80.6,7.81,153.6,179,10.32,80.27,7.78,154.0,179.0,21.0,1203.0,10.32,80.6,7.81,153.6,179,92,1.6,7.8,17.6,65.5,7.5,61.0,64.0,181.9,,False,True,False,False,False,False
"May 15, 2026, 1:23:39 PM",Morning Run,4.23,35.77,8.45,136.9,155,4.23,35.3,8.35,137.0,155.0,18.0,440.0,4.23,35.77,8.45,136.9,155,86,7.0,24.8,60.1,8.1,0.0,23.0,26.0,178.4,,False,False,False,False,False,False
"May 14, 2026, 1:17:17 PM",Morning Run,5.04,47.13,9.35,128.3,144,5.04,47.05,9.34,128.0,144.0,20.0,527.0,5.04,47.13,9.35,128.3,144,81,6.5,56.9,36.5,0.0,0.0,21.0,23.0,179.0,,False,False,False,True,False,False
"May 13, 2026, 7:28:10 PM",Lunch Run,5.49,46.93,8.55,142.3,161,5.49,46.93,8.55,142.0,161.0,106.0,622.0,5.49,46.93,8.55,142.3,161,86,1.3,15.4,59.3,24.0,0.0,113.0,120.0,175.6,,False,False,False,False,False,False
"May 12, 2026, 1:09:54 PM",Morning Run,5.1,49.42,9.7,130.3,141,5.1,49.42,9.69,130.0,141.0,36.0,567.0,5.1,49.42,9.7,130.3,141,99,1.7,63.4,34.9,0.0,0.0,71.0,71.0,172.3,,False,False,False,True,False,False
"May 11, 2026, 7:22:34 PM",Lunch Run,6.36,55.23,8.69,142.7,165,6.36,54.35,8.55,143.0,165.0,60.0,725.0,6.36,55.23,8.69,142.7,165,81,1.1,13.2,62.7,22.9,0.0,89.0,83.0,175.4,,False,False,False,False,False,False
"May 10, 2026, 5:00:29 PM",Morning Run,6.22,56.08,9.01,144.8,164,6.22,55.17,8.87,145.0,164.0,19.0,751.0,6.22,56.08,9.01,144.8,164,91,1.5,5.9,76.5,16.2,0.0,47.0,46.0,177.2,,False,False,False,True,False,False
"May 8, 2026, 7:17:39 PM",Lunch Run,5.4,51.47,9.53,137.7,150,5.4,50.15,9.29,138.0,150.0,106.0,630.0,5.4,51.47,9.53,137.7,150,85,1.3,25.8,72.9,0.0,0.0,122.0,125.0,175.2,,False,False,False,True,False,False
"May 7, 2026, 1:15:21 PM",Morning Run,5.02,47.65,9.48,127.2,143,5.02,47.65,9.49,127.0,143.0,20.0,525.0,5.02,47.65,9.48,127.2,143,85,7.0,60.9,32.1,0.0,0.0,26.0,28.0,178.4,,False,False,False,True,False,False
"May 6, 2026, 7:26:35 PM",Lunch Run,6.2,58.68,9.46,137.1,152,6.2,57.32,9.25,137.0,152.0,139.0,715.0,6.2,58.68,9.46,137.1,152,87,1.5,20.6,77.0,0.9,0.0,152.0,156.0,176.2,,False,False,False,True,False,False
