Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"May 20, 2026, 2:06:05 AM",Morning Run,3.37,34.43,10.2,148.2,167,3.37,31.87,9.46,149.0,167.0,17.0,341.0,3.37,34.43,10.2,148.2,167,80,4.6,12.0,31.0,52.5,0.0,53.4,56.8,168.3,,False,False,False,True,False,False
"May 13, 2026, 1:53:17 AM",Test run,3.48,33.07,9.5,138.7,158,3.48,30.93,8.89,139.0,158.0,2.0,340.0,3.48,33.07,9.5,138.7,158,107,2.1,21.5,64.7,11.7,0.0,29.2,38.8,172.9,,False,False,False,True,False,False
"Apr 26, 2026, 8:48:04 AM",London Marathon 2026,26.48,205.1,7.75,166.2,174,26.48,202.63,7.65,166.0,174.0,141.0,2487.0,26.48,205.1,7.75,166.2,174,134,0.0,0.0,0.7,86.5,12.8,320.6,346.8,180.7,,True,True,False,False,True,False
"Apr 25, 2026, 8:36:46 AM",Morning Run,3.15,32.45,10.29,116.5,142,3.15,32.33,10.26,116.0,142.0,21.0,283.0,3.15,32.45,10.29,116.5,142,75,41.1,51.8,7.2,0.0,0.0,53.4,43.2,172.4,,False,False,False,True,False,False
"Apr 23, 2026, 5:53:29 AM",Morning Run,1.94,18.15,9.33,134.5,149,2.05,18.15,8.85,135.0,149.0,0.0,177.0,1.94,18.15,9.33,134.5,149,88,6.6,17.2,76.1,0.0,0.0,0,0,173.2,,False,False,False,True,False,False
"Apr 20, 2026, 1:11:04 AM",Last sesh,5.42,48.05,8.87,156.8,175,5.42,45.62,8.42,159.0,175.0,14.0,532.0,5.42,48.05,8.87,156.8,175,73,3.0,6.8,18.8,49.1,22.4,56.4,59.0,178.2,,False,False,False,False,False,False
"Apr 18, 2026, 3:17:17 AM",CD,0.5,4.13,,139.8,151,0.5,4.13,,140.0,151.0,0.0,45.0,0.5,4.13,,139.8,151,112,2.0,16.5,81.5,0.0,0.0,0,0,178.8,,False,False,False,False,False,False
"Apr 18, 2026, 2:22:02 AM",Controlled Track,5.71,52.68,9.22,152.4,170,5.71,47.87,8.38,155.0,170.0,0.0,522.0,5.71,52.68,9.22,152.4,170,77,3.9,12.0,16.5,67.7,0.0,10.6,0,181.8,,False,False,False,True,False,False
"Apr 17, 2026, 6:07:20 AM",Morning Run,3.47,28.42,8.19,130.4,142,3.17,28.42,8.97,130.0,142.0,0.0,260.0,3.47,28.42,8.19,130.4,142,63,4.0,39.2,56.9,0.0,0.0,0,0,177.1,,False,False,False,False,False,False
"Apr 15, 2026, 2:25:46 AM",Intervals w Paul,5.34,44.92,8.41,157.9,174,5.34,41.82,7.83,158.0,174.0,10.0,485.0,5.34,44.92,8.41,157.9,174,100,0.6,4.1,27.8,45.9,21.6,53.8,57.0,179.7,,False,False,False,False,False,False
